,record.id,best_hit_id,identity%,alignment_length,evalue,bitscore
0,sp|A0M8Q6|IGLC7_HUMAN,bmy_19800T0,70.476,105,1.08e-46,148
1,sp|A2RU14|TM218_HUMAN,bmy_08516T0,83.478,115,1.65e-49,154
2,sp|A6NFY7|SDHF1_HUMAN,bmy_05915T0,81.356,118,2.44e-60,180
3,sp|G2XKQ0|SUMO5_HUMAN,bmy_17523T0,86.139,101,1.63e-59,177
4,sp|O00175|CCL24_HUMAN,bmy_19531T0,64.103,117,2.95e-52,160
5,sp|O14519|CDKA1_HUMAN,bmy_07841T0,67.327,101,4.78e-42,134
6,sp|O14633|LCE2B_HUMAN,bmy_19015T0,77.143,35,5.06e-08,48.5
7,sp|O15130|NPFF_HUMAN,bmy_15765T0,30.337,89,0.61,28.5
8,sp|O15155|BET1_HUMAN,bmy_06980T0,95.536,112,1.81e-76,223
9,sp|O15467|CCL16_HUMAN,bmy_02892T0,77.228,101,4.52e-46,144
10,sp|O43653|PSCA_HUMAN,bmy_19691T0,72.857,70,1.66e-29,102
11,sp|O43687|AKA7A_HUMAN,bmy_20679T0,88.333,60,5.64e-32,109
12,sp|O43805|SSNA1_HUMAN,bmy_13873T0,94.958,119,3.53e-71,207
13,sp|O43914|TYOBP_HUMAN,bmy_05913T0,72.973,111,1.29e-49,152
14,sp|O43920|NDUS5_HUMAN,bmy_02101T0,79.245,106,3.36e-64,191
15,sp|O43927|CXL13_HUMAN,bmy_22244T0,54.630,108,5.04e-34,113
16,sp|O60516|4EBP3_HUMAN,bmy_01483T0,41.667,24,1.4,27.3
17,sp|O60519|CRBL2_HUMAN,bmy_01983T0,97.391,115,1.51e-78,226
18,sp|O60829|PAGE4_HUMAN,bmy_18958T0,55.714,70,4.87e-15,66.2
19,sp|O75347|TBCA_HUMAN,bmy_11698T0,91.667,84,4.21e-48,147
20,sp|O75348|VATG1_HUMAN,bmy_15740T0,97.458,118,4.79e-79,227
21,sp|O75368|SH3L1_HUMAN,bmy_04175T0,59.615,104,3.37e-41,132
22,sp|O75409|HYPM_HUMAN,bmy_15626T0,36.765,68,6.96e-05,38.5
23,sp|O75896|TUSC2_HUMAN,bmy_02064T0,93.578,109,1.62e-71,207
24,sp|O75920|SERF1_HUMAN,bmy_09395T0,94.737,38,5.56e-18,73.2
25,sp|O95166|GBRAP_HUMAN,bmy_01765T0,100.000,117,1.36e-83,239
26,sp|O95182|NDUA7_HUMAN,bmy_11768T0,91.150,113,2.52e-74,215
27,sp|O95183|VAMP5_HUMAN,bmy_21865T0,76.522,115,1.28e-47,148
28,sp|O95298|NDUC2_HUMAN,bmy_20167T0,50.000,40,0.066,31.6
29,sp|O95670|VATG2_HUMAN,bmy_03159T0,95.763,118,3.32e-76,220
30,sp|O95715|CXL14_HUMAN,bmy_03825T0,83.582,67,5.55e-24,89.7
31,sp|O96015|DNAL4_HUMAN,bmy_21232T0,100.000,105,1.03e-76,220
32,sp|P01215|GLHA_HUMAN,bmy_17863T0,73.333,120,3.68e-62,190
33,sp|P01270|PTHY_HUMAN,bmy_04011T0,82.609,115,8.75e-68,199
34,sp|P01286|SLIB_HUMAN,bmy_12939T0,29.070,86,2.26e-05,40.4
35,sp|P01308|INS_HUMAN,bmy_05026T0,87.097,62,1.15e-29,101
36,sp|P01350|GAST_HUMAN,bmy_16707T0,77.778,99,9.41e-49,149
37,sp|P01593|KVD33_HUMAN,bmy_18944T0,63.736,91,1.41e-40,130
38,sp|P01594|KV133_HUMAN,bmy_18944T0,63.736,91,1.41e-40,130
39,sp|P01597|KV139_HUMAN,bmy_18944T0,65.934,91,7.27e-40,128
40,sp|P01599|KV117_HUMAN,bmy_18944T0,62.637,91,2.10e-37,122
41,sp|P01602|KV105_HUMAN,bmy_18944T0,63.736,91,7.35e-40,128
42,sp|P01611|KVD12_HUMAN,bmy_18944T0,64.835,91,7.03e-40,128
43,sp|P01615|KVD28_HUMAN,bmy_09038T0,78.846,104,5.35e-55,168
44,sp|P01619|KV320_HUMAN,bmy_18944T0,80.645,93,4.83e-48,149
45,sp|P01699|LV144_HUMAN,bmy_21734T0,69.369,111,7.83e-46,150
46,sp|P01700|LV147_HUMAN,bmy_21734T0,68.468,111,1.17e-44,147
47,sp|P01701|LV151_HUMAN,bmy_21734T0,66.957,115,1.61e-43,144
48,sp|P01704|LV214_HUMAN,bmy_21734T0,78.333,120,6.02e-61,189
49,sp|P01705|LV223_HUMAN,bmy_21734T0,75.676,111,2.26e-54,172
50,sp|P01706|LV211_HUMAN,bmy_21734T0,76.471,119,1.93e-59,185
